id,name,normalised_name,aliases
00f264da-bbf8-3133-840b-efb80d9abc9f,David Klein,david-klein,{'David Klein'}
0200a582-7f9c-3004-8ffb-7d95987b8d17,Örlygur Smári,orlygur-smari,{'Örlygur Smári'}
0221f8c4-a1a9-32ad-b975-12d671af9fdb,Raffaele Gualazzi,raffaele-gualazzi,{'Raffaele Gualazzi'}
03fce15f-77fe-3549-95b5-97cd35bbd1cd,Alex Swings Oscar Sings!,alex-swings-oscar-sings,{'Alex Swings Oscar Sings!'}
0502dbc9-211f-34d3-90fb-e5be89ec3025,Kejsi Tola,kejsi-tola,{'Kejsi Tola'}
059b9ae7-6884-3a9f-89df-74819f01e35e,No Angels,no-angels,{'No Angels'}
069fa764-b0c4-304b-9746-3bcb814bed8d,Chris Neil,chris-neil,{'Chris Neil'}
08534645-4ed8-38b8-a72c-51ae14063098,Lucía Pérez,lucia-perez,{'Lucía Pérez'}
08abe98d-1faf-3542-b426-0c1d0d645e70,Paula Seling & Ovi,paula-seling-ovi,{'Paula Seling & Ovi'}
08e0a1b6-bbb6-3759-ab86-564dd685c188,Inga & Anush,inga-anush,{'Inga & Anush'}
09f6a87b-b411-3194-8ed2-181a8f4e573d,AySel & Arash,aysel-arash,{'AySel & Arash'}
0a4d1235-da9f-3a45-9525-b30664067859,Johnny K. Palmer,johnny-k-palmer,{'Johnny K. Palmer'}
0b1c288e-28f5-3cdd-b5f9-d8d1b83c909b,Nicole Morier,nicole-morier,{'Nicole Morier'}
0ba63f99-fe5b-390d-883b-236a9569a569,Thomas Troelsen,thomas-troelsen,{'Thomas Troelsen'}
0e05f2a8-6190-3f71-a1ce-43dce8cafe3f,Fred Blondin,fred-blondin,{'Fred Blondin'}
10a2aa3f-1c4d-39c7-9c74-18f14f0b7116,Sjonni Brink,sjonni-brink,{'Sjonni Brink'}
10ce9de0-fa6e-3007-8c4a-48b3203ea887,Patricia Kaas,patricia-kaas,{'Patricia Kaas'}
1155ba62-6255-3d05-822b-fdf65c21dadf,Jim Beanz,jim-beanz,{'Jim Beanz'}
11d6c5e0-805e-3a0e-a30d-07141fe45d50,Sandra Bjurman,sandra-bjurman,{'Sandra Bjurman'}
12a5d4de-3807-33c8-a39d-75886ac71af8,Loucas Yiorkas feat. Stereo Mike,loucas-yiorkas-feat-stereo-mike,{'Loucas Yiorkas feat. Stereo Mike'}
1327b2aa-7714-33d0-ae80-46303bfdc623,Ovidiu Cernăuțeanu,ovidiu-cernauteanu,{'Ovidiu Cernăuțeanu'}
15525cc9-084d-3c9d-aa65-397b63f47fd0,Ljiljana Jorgovanović,ljiljana-jorgovanovic,{'Ljiljana Jorgovanović'}
16a89335-b5b6-399e-aaf0-992aae2ca38e,Laka,laka,{'Laka'}
