id,name,normalised_name,aliases
050e0651-71e4-3c54-a2ed-a28348c3aeff,Erik Hillestad,erik-hillestad,{'Erik Hillestad'}
05239f34-c792-3256-a891-d5a38295cb6f,Johann Brunner,johann-brunner,{'Johann Brunner'}
054bb15b-3a57-3a7e-b4af-17590499db4c,Aphroditi Fryda,aphroditi-fryda,{'Aphroditi Fryda'}
0588c7f0-940f-3d28-b853-6287c34ae832,Tobias Lundgren,tobias-lundgren,{'Tobias Lundgren'}
059a450b-4ca5-3867-a56a-9a637fe00054,Alstani Victor-Razvan,alstani-victor-razvan,{'Alstani Victor-Razvan'}
059d396f-dc9b-3513-a62b-7e75231aa556,Lars Forssell,lars-forssell,{'Lars Forssell'}
05c8efda-e569-3d70-becc-e908b2620fa7,Zeljen Klasterka,zeljen-klasterka,{'Zeljen Klasterka'}
05f4610a-77a3-30ba-beac-f6008f05dfa1,Nicole Blair,nicole-blair,{'Nicole Blair'}
05f4a47c-8cb0-38c4-b4c8-c3d4fe58bb66,René de Vos,rene-de-vos,{'René de Vos'}
063dbd50-147d-3a83-8a17-00501431e9e3,DWB,dwb,{'DWB'}
0650717b-5c09-36d1-a034-073361c208d7,Christos Lagos,christos-lagos,{'Christos Lagos'}
066b2981-828a-3d50-8bba-8a12eaf8bd0a,Alvi Vuorinen,alvi-vuorinen,{'Alvi Vuorinen'}
06a40746-02b8-36b7-89d5-9da1c0938456,Helena Paparizou,helena-paparizou,{'Helena Paparizou'}
06d7de6a-a13b-331e-b551-52bdec911e0a,Isabelle Aubret,isabelle-aubret,{'Isabelle Aubret'}
06dad116-bd4b-3475-8699-3c43d2422ca5,Hanna Pakarinen,hanna-pakarinen,{'Hanna Pakarinen'}
071937ff-5711-393e-a0bc-3e2539ba984d,Rafael Trabucchelli,rafael-trabucchelli,{'Rafael Trabucchelli'}
074b50dd-5b08-316e-8978-80326f89f3cd,Nazim Khaled,nazim-khaled,{'Nazim Khaled'}
07631db7-43f6-3532-baf5-73a2b229076d,Jahn Teigen,jahn-teigen,{'Jahn Teigen'}
0763b1c4-60c8-356f-adf2-a96583ebaa83,António A. Pinho,antonio-a-pinho,{'António A. Pinho'}
076e4120-0a31-3b26-9db0-7fbd1260932f,Imaani,imaani,{'Imaani'}
07723a8f-cf9e-3fdf-bf7a-986956dd4f94,Kaisu Liuhala,kaisu-liuhala,{'Kaisu Liuhala'}
077968a4-7958-3ec6-8a2e-4177250ce66c,Philippe Anciaux,philippe-anciaux,{'Philippe Anciaux'}
07a36a55-d154-3cd8-a82d-165ef9ab0700,Vilfred Kjær,vilfred-kjaer,{'Vilfred Kjær'}
07c8bd3b-a29d-3001-9150-d7513cf2e4bd,Ronnie Herbholzheimer,ronnie-herbholzheimer,{'Ronnie Herbholzheimer'}
07ce6101-0975-36dc-ae06-643a2c68f617,Gyuri Spies,gyuri-spies,{'Gyuri Spies'}
0823e219-6c5c-3bba-8c6e-9e1c2a49c29c,Matt Schwartz,matt-schwartz,{'Matt Schwartz'}
08625947-b86b-32d1-98ed-4a14832d7123,Poogy,poogy,{'Poogy'}
086f9dbc-8097-3594-b5a0-25620524527b,Gaetano Savio,gaetano-savio,{'Gaetano Savio'}
08747348-9ed0-3249-8f04-9f45c68a8d54,Grigor Koprov,grigor-koprov,{'Grigor Koprov'}
08a1647c-bf03-30ce-ac50-86367e49d3c2,Jean-Marc Sauvagnargues,jean-marc-sauvagnargues,{'Jean-Marc Sauvagnargues'}
08abe98d-1faf-3542-b426-0c1d0d645e70,Paula Seling & OVI,paula-seling-ovi,{'Paula Seling & OVI'}
08bf52c7-961a-3f39-a1b5-7877f557420f,Jean Miret,jean-miret,{'Jean Miret'}
09073c74-6007-3b35-8106-90d10be1f6de,Timo Vendt,timo-vendt,{'Timo Vendt'}
090b0bec-624b-3ec7-8054-2009db5ed6a9,Tózé Brito,toze-brito,{'Tózé Brito'}
09220a2d-02c7-301f-b284-b60861f60f74,Herodes Falsk,herodes-falsk,{'Herodes Falsk'}
09497d74-3060-34d0-97e6-baac972adf87,Saara Aalto,saara-aalto,{'Saara Aalto'}
0990f9c7-102f-323c-bb16-3c0e1a9aa107,Burak Aydos,burak-aydos,{'Burak Aydos'}
09bc70b7-cf8e-350c-9251-4504eaa6d42b,Tolmachevy Sisters,tolmachevy-sisters,{'Tolmachevy Sisters'}
09d88a3f-7466-322a-96f6-a563afcf65f0,Filippo Gabbani,filippo-gabbani,{'Filippo Gabbani'}
09fe4fe8-b7a0-38ee-acb5-d8d03c7013d9,Tommy Mansikka-Aho,tommy-mansikka-aho,{'Tommy Mansikka-Aho'}
0a154d7e-bea7-3066-8517-6d018edc4abe,Pierre Alain,pierre-alain,{'Pierre Alain'}
0a1f1f18-6b6e-305f-a6e2-d4b4d4d68559,Magda Czapinska,magda-czapinska,{'Magda Czapinska'}
0a30bfb4-dbb8-3ac3-937b-b7753cd4ff02,Eva Sren,eva-sren,{'Eva Sr\x9aen'}
0a3ca644-fcbc-360d-9255-b2c41469131f,Silvia M. Klemm,silvia-m-klemm,{'Silvia M. Klemm'}
0a3cb0d8-3728-3a2b-806a-8769e11d2365,Ketama,ketama,{'Ketama'}
