artist,country,points,performance_order,ranking,broadcaster,composers,contest_id,final_type,id,song,writers,spotify_id,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,contest_id_2,img_src,location,name,url,year
Freaky Fortune feat. RiskyKidd,Greece,35.0,10,20,NERIT,Freaky Fortune,65ff473b-91bc-335f-bed3-9052fc7cdeb5,grand final,9d4d0a6c-933a-3f8b-8904-bd643162cee4,Rise Up,Freaky Fortune/ RiskyKidd,,,,,,,,,,,,,,65ff473b-91bc-335f-bed3-9052fc7cdeb5,https://apex.eurovision.tv/image/a7c9ca682b37ead0610f0879e104b0cf,Copenhagen,Copenhagen 2014,/event/copenhagen-2014,2014
Tolmachevy Sisters,Russia,89.0,15,7,RTR,"Philipp Kirkorov, Dimitris Kontopoulos",65ff473b-91bc-335f-bed3-9052fc7cdeb5,grand final,9b4085e8-1f7b-31fd-a521-daad2cd74e10,Shine,"John Ballard, Ralph Charlie, Gerard James Borg",,,,,,,,,,,,,,65ff473b-91bc-335f-bed3-9052fc7cdeb5,https://apex.eurovision.tv/image/a7c9ca682b37ead0610f0879e104b0cf,Copenhagen,Copenhagen 2014,/event/copenhagen-2014,2014
András Kállay-Saunders,Hungary,143.0,21,5,MTV,"András Kállay-Saunders, Krisztián Szakos",65ff473b-91bc-335f-bed3-9052fc7cdeb5,grand final,9759cbfc-8065-3ca3-bc2d-6e1a7a4cb611,Running,András Kállay-Saunders,,,,,,,,,,,,,,65ff473b-91bc-335f-bed3-9052fc7cdeb5,https://apex.eurovision.tv/image/a7c9ca682b37ead0610f0879e104b0cf,Copenhagen,Copenhagen 2014,/event/copenhagen-2014,2014
Valentina Monetta,San Marino,14.0,25,24,SMRTV,Ralph Siegel,65ff473b-91bc-335f-bed3-9052fc7cdeb5,grand final,d90b35dc-6ca0-34d2-9596-dbbba9aa06c5,Maybe (Forse),Mauro Balestri,,,,,,,,,,,,,,65ff473b-91bc-335f-bed3-9052fc7cdeb5,https://apex.eurovision.tv/image/a7c9ca682b37ead0610f0879e104b0cf,Copenhagen,Copenhagen 2014,/event/copenhagen-2014,2014
Molly,United Kingdom,40.0,26,17,BBC,Molly Smitten-Downes & Anders Hansson,65ff473b-91bc-335f-bed3-9052fc7cdeb5,grand final,a54a623a-c498-391c-9aca-ebc8188e366c,Children of the Universe,Molly Smitten-Downes & Anders Hansson,,,,,,,,,,,,,,65ff473b-91bc-335f-bed3-9052fc7cdeb5,https://apex.eurovision.tv/image/a7c9ca682b37ead0610f0879e104b0cf,Copenhagen,Copenhagen 2014,/event/copenhagen-2014,2014
Krista Siegfrids,Finland,13.0,4,24,YLE,"Krista Siegfrids, Erik Nyholm, Kristoffer Karlsson, Jessica Lundström",fc7505da-0220-34ba-82a1-3abc5e8b3e36,grand final,eb995ae2-7e0b-34ae-99bf-2095357522e8,Marry Me,"Krista Siegfrids, Erik Nyholm, Kristoffer Karlsson, Jessica Lundström",,,,,,,,,,,,,,fc7505da-0220-34ba-82a1-3abc5e8b3e36,https://apex.eurovision.tv/image/acf1012f98180ce83d4718378e6e7aef,Malmö,Malmö 2013,/event/malmo-2013,2013
ESDM,Spain,8.0,5,25,TVE,"Raquel del Rosario, David Feito, Juan Suárez",fc7505da-0220-34ba-82a1-3abc5e8b3e36,grand final,9dd08a31-9dbf-3b5f-97ab-55e853da4e94,Contigo Hasta El Final (With You Until The End),"Raquel del Rosario, David Feito, Juan Suárez",,,,,,,,,,,,,,fc7505da-0220-34ba-82a1-3abc5e8b3e36,https://apex.eurovision.tv/image/acf1012f98180ce83d4718378e6e7aef,Malmö,Malmö 2013,/event/malmo-2013,2013
Dina Garipova,Russia,174.0,10,5,C1R,"Gabriel Alares, Joakim Björnberg, Leonid Gutkin",fc7505da-0220-34ba-82a1-3abc5e8b3e36,grand final,32652496-f1f9-323d-b75b-5be30aec393a,What If,"Gabriel Alares, Joakim Björnberg, Leonid Gutkin",,,,,,,,,,,,,,fc7505da-0220-34ba-82a1-3abc5e8b3e36,https://apex.eurovision.tv/image/acf1012f98180ce83d4718378e6e7aef,Malmö,Malmö 2013,/event/malmo-2013,2013
Dorians,Armenia,41.0,12,18,AMPTV,Tony Iommi,fc7505da-0220-34ba-82a1-3abc5e8b3e36,grand final,873906ec-1bcc-31a9-83e8-dc5295d12202,Lonely Planet,Vardan Zadoyan,,,,,,,,,,,,,,fc7505da-0220-34ba-82a1-3abc5e8b3e36,https://apex.eurovision.tv/image/acf1012f98180ce83d4718378e6e7aef,Malmö,Malmö 2013,/event/malmo-2013,2013
Koza Mostra feat. Agathon Iakovidis,Greece,152.0,21,6,ERT,Ilias Kozas,fc7505da-0220-34ba-82a1-3abc5e8b3e36,grand final,79aedbe7-6cd0-3392-93b7-31c69f9be5d0,Alcohol Is Free,"Stathis Pachidis, Ilias Kozas",,,,,,,,,,,,,,fc7505da-0220-34ba-82a1-3abc5e8b3e36,https://apex.eurovision.tv/image/acf1012f98180ce83d4718378e6e7aef,Malmö,Malmö 2013,/event/malmo-2013,2013
Nodi Tatishvili & Sophie Gelovani,Georgia,50.0,25,15,GPB,Thomas G:son & Erik Bernholm,fc7505da-0220-34ba-82a1-3abc5e8b3e36,grand final,1664dda1-7405-3c5c-862f-374d678a421d,Waterfall,Thomas G:son,,,,,,,,,,,,,,fc7505da-0220-34ba-82a1-3abc5e8b3e36,https://apex.eurovision.tv/image/acf1012f98180ce83d4718378e6e7aef,Malmö,Malmö 2013,/event/malmo-2013,2013
Donny Montell,Lithuania,70.0,4,14,LRT,Brandon Stone,1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,d9d65cd4-951c-34ed-9ec7-40d80773cfec,Love Is Blind,Brandon Stone & Jodie Rose,,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Buranovskiye Babushki,Russia,259.0,6,2,RTR,"Viktor Drobysh, Timofei Leontiev",1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,68c97532-5724-3dac-a25f-83733b809656,Party For Everybody,"Olga Tuktareva, Marry S. Applegate",,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Ivi Adamou,Cyprus,65.0,8,16,CyBC,"Alex Papaconstantinou, Bjorn Djupström, Alexandra Zakka & Viktor Svensson",1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,fe153189-45f2-395a-95e8-26ebdab5f7c4,La La Love,"Alex Papaconstantinou, Bjorn Djupström, Alexandra Zakka & Viktor Svensson",,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Nina Zilli,Italy,101.0,10,9,RAI,"Christian Rabb, Kristoffer Sjökvist, Frida Molander & Charlie Mason",1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,b18fa5d7-5afe-3d85-a450-7fc86923489e,L'Amore È Femmina  (Out Of Love),"Nina Zilli, Christian Rabb, Kristoffer Sjökvist, Frida Molander & Charlie Mason",,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Soluna Samay,Denmark,21.0,15,23,DR,Chief 1 & Remee,1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,f088bea0-d384-3f40-b29e-8ea0ab03f993,Should've Known Better,"Chief 1, Remee & Isam B",,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Pastora Soler,Spain,97.0,19,10,TVE,"Antonio Sánchez, Thomas G:son & Erik Bernholm",1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,f0e75dde-c3e1-3d18-94b9-62f460ac325c,Quédate Conmigo (Stay With Me),Antonio Sánchez,,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Roman Lob,Germany,110.0,20,8,NDR,"Wayne Hector, Jamie Cullum, Steve Robson",1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,3bf3af89-4333-3f48-b0fb-816a0dd30853,Standing Still,"Wayne Hector, Jamie Cullum, Steve Robson",,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
